,Outcome
561,1
396,0
312,1
544,0
442,0
338,1
740,1
424,1
199,1
208,0
648,1
607,0
383,0
232,0
476,1
40,0
20,0
685,0
13,1
302,0
541,1
373,0
454,0
353,0
247,0
409,1
358,0
588,1
244,0
157,0
174,0
543,0
606,1
265,0
388,1
665,0
652,0
555,0
594,0
356,1
306,1
177,1
153,0
318,0
70,1
359,1
704,0
309,1
644,0
126,0
477,0
57,0
161,0
98,0
323,1
427,1
698,0
760,0
500,0
173,0
234,0
28,0
189,1
662,1
679,0
94,0
325,0
599,0
258,0
663,1
610,0
137,0
259,1
520,0
480,1
282,0
305,0
217,0
169,0
551,0
4,1
402,1
35,0
700,0
574,0
144,0
597,0
128,1
147,0
651,0
483,0
69,0
136,0
181,0
8,1
411,0
620,0
445,1
716,1
526,0
431,0
392,0
316,0
603,1
248,0
3,0
673,0
732,1
25,1
293,1
156,0
486,0
414,1
311,0
159,1
460,0
516,1
82,0
24,1
638,1
345,0
175,1
482,0
286,0
554,0
763,0
71,0
654,0
656,0
540,1
215,1
462,0
672,0
340,0
631,0
63,0
647,1
95,0
109,1
389,0
223,0
611,1
18,0
385,0
254,1
633,0
493,1
553,0
91,0
487,0
412,0
608,0
639,0
85,0
682,0
432,0
452,0
198,1
680,0
744,0
753,1
441,0
134,0
623,0
420,0
271,0
51,0
171,1
204,0
97,0
195,1
368,0
130,1
376,0
548,0
372,0
721,0
127,0
292,1
711,0
56,1
187,1
446,0
422,0
448,1
646,1
19,1
645,0
224,0
119,0
723,0
534,0
450,0
506,1
382,0
32,0
206,1
213,1
50,0
273,0
429,1
135,0
670,0
315,0
485,1
112,0
546,1
563,0
165,1
748,1
447,0
532,0
425,1
395,0
120,1
562,0
59,0
298,1
150,0
308,1
68,0
421,0
39,1
369,1
329,0
290,0
301,1
228,0
657,0
14,1
707,0
162,0
374,0
519,0
490,0
379,0
576,0
99,1
668,0
139,0
132,1
114,1
105,0
527,0
449,0
365,0
348,0
733,0
569,1
158,0
655,1
530,0
377,0
640,0
528,0
111,1
595,1
696,1
31,1
297,0
415,1
419,1
755,1
188,1
341,0
6,1
521,0
52,0
125,1
511,0
277,0
241,0
331,0
467,0
459,0
566,0
191,0
428,0
722,1
220,1
591,0
612,1
289,0
320,0
288,0
87,0
110,1
225,0
296,1
393,0
107,0
593,0
503,0
279,0
584,1
659,1
736,0
186,1
507,0
334,0
275,0
747,0
669,0
313,0
287,1
497,0
307,0
499,0
730,1
614,1
295,0
617,0
281,0
