,Outcome
118,0
336,0
374,0
518,0
716,1
370,1
9,1
134,0
215,1
738,0
81,0
111,1
704,0
525,0
163,0
589,0
443,1
233,0
335,0
194,0
96,0
475,0
121,0
125,1
330,0
568,0
26,1
667,1
241,0
416,0
673,0
63,0
483,0
669,0
120,1
119,0
582,0
43,1
427,1
133,0
262,0
358,0
489,0
157,0
192,1
547,0
30,0
331,0
711,0
709,1
556,0
648,1
599,0
270,1
390,0
112,0
207,1
150,0
47,0
516,1
439,0
211,0
271,0
456,0
623,0
61,1
690,0
655,1
97,0
373,0
608,0
596,0
288,0
438,0
660,0
379,0
594,0
584,1
237,1
715,1
758,0
189,1
4,1
292,1
371,0
296,1
128,1
360,1
591,0
542,1
425,1
226,0
341,0
123,0
152,1
480,1
159,1
377,0
551,0
538,0
698,0
714,0
564,0
115,1
621,0
33,0
587,0
19,1
276,1
581,0
210,0
149,0
692,0
444,1
337,1
247,0
73,0
498,1
239,0
527,0
298,1
158,0
252,0
381,0
357,1
654,0
588,1
610,0
117,0
540,1
646,1
521,0
188,1
16,1
473,0
733,0
302,0
208,0
27,0
338,1
95,0
395,0
420,0
28,0
191,0
749,1
685,0
180,0
409,1
387,1
72,1
346,0
175,1
468,1
691,1
297,0
380,0
763,0
393,0
104,0
624,0
260,0
293,1
68,0
727,0
48,1
363,1
612,1
577,1
497,0
398,0
442,0
507,0
223,0
401,0
325,0
681,1
213,1
697,0
488,0
200,0
531,0
724,0
99,1
701,1
238,1
345,0
12,0
98,0
396,0
17,1
735,0
173,0
428,0
509,0
466,0
45,1
424,1
69,0
603,1
668,0
513,0
184,0
366,1
127,0
490,0
70,1
504,0
13,1
5,0
250,0
3,0
417,1
258,0
546,1
469,0
274,0
177,1
290,0
533,0
535,1
560,1
269,1
485,1
710,0
24,1
609,0
225,0
686,0
329,0
312,1
273,0
601,0
570,0
590,1
644,0
356,1
552,0
232,0
536,0
287,1
431,0
348,0
614,1
181,0
148,0
35,0
85,0
713,0
36,0
764,0
450,0
423,0
328,1
418,0
495,0
179,1
285,0
585,0
470,0
397,1
178,0
301,1
734,0
767,0
730,1
680,0
154,1
280,1
169,0
197,1
340,0
176,0
751,0
436,0
195,1
56,1
326,1
129,1
275,0
286,0
199,1
102,0
168,0
349,1
11,1
209,1
75,0
632,0
742,0
268,0
741,0
687,0
522,0
126,0
172,0
421,0
505,0
653,0
496,0
284,1
419,1
494,0
617,0
78,1
635,1
593,0
385,0
243,1
478,0
155,1
746,1
362,0
574,0
137,0
745,0
437,0
369,1
18,0
265,0
503,0
659,1
90,0
404,1
629,0
719,1
699,0
322,1
484,1
647,1
501,0
458,1
254,1
203,0
718,0
186,1
576,0
541,1
10,0
755,1
110,1
244,0
80,0
762,0
31,1
74,0
537,0
86,0
747,0
257,0
415,1
54,0
83,0
277,0
662,1
58,0
204,0
515,1
282,0
164,1
598,1
334,0
222,0
403,0
729,0
493,1
220,1
511,0
725,0
550,0
759,1
59,0
620,0
2,1
386,1
639,0
40,0
595,1
696,1
688,0
567,0
544,0
116,1
66,1
124,1
637,0
389,0
405,0
361,0
308,1
435,1
245,1
426,0
165,1
216,1
323,1
528,0
695,1
313,0
720,0
316,0
510,1
616,0
634,0
65,0
87,0
752,0
145,0
674,0
455,1
310,0
519,0
481,0
206,1
376,0
633,0
0,1
652,0
477,0
661,1
722,1
93,1
463,0
665,0
333,0
605,0
217,0
491,0
636,0
34,0
627,0
625,0
579,1
32,0
737,0
642,1
569,1
170,1
446,0
41,0
561,1
198,1
107,0
263,0
452,0
122,0
464,0
723,0
291,1
240,0
487,0
351,0
508,0
249,0
479,0
319,1
309,1
82,0
732,1
42,0
182,0
445,1
185,1
684,0
571,0
294,0
756,0
350,0
364,0
352,0
141,0
50,0
407,0
391,1
726,0
25,1
375,1
89,0
228,0
447,0
671,0
739,1
8,1
708,1
108,0
566,0
230,1
193,1
757,1
15,1
368,0
672,0
679,0
611,1
101,0
20,0
640,0
64,1
534,0
434,0
359,1
320,0
471,0
342,0
248,0
388,1
52,0
281,0
332,1
592,1
761,1
227,1
272,0
384,0
202,0
55,0
289,0
499,0
430,0
539,1
766,1
146,0
339,1
583,0
664,1
383,0
29,0
214,1
529,0
677,0
139,0
147,0
622,0
440,1
517,0
740,1
79,0
451,1
251,0
408,1
429,1
300,1
44,0
721,0
67,0
62,0
565,0
46,0
229,0
693,1
174,0
600,0
295,0
76,0
526,0
765,0
702,1
327,0
563,0
306,1
618,1
467,0
14,1
657,0
212,0
602,0
171,1
514,0
267,0
22,1
457,0
57,0
261,1
130,1
628,0
678,1
235,1
414,1
354,0
604,1
402,1
433,0
731,1
106,0
303,1
650,0
160,0
649,0
548,0
562,0
109,1
492,0
656,0
201,0
559,0
304,0
406,1
131,1
259,1
88,1
167,0
641,0
453,0
500,0
253,0
156,0
136,0
151,0
255,1
317,1
143,1
474,0
318,0
132,1
