,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol
1404,0.04761904761904746,-0.08333333333333341,0.3823529411764706,0.5714285714285712,0.14285714285714304,-0.07142857142857142,0.21428571428571427,0.8181818181818366,0.6315789473684218,0.0,0.31250000000000006
1198,-0.09523809523809534,-1.0833333333333335,0.0,-0.2857142857142859,-1.2857142857142865,0.42857142857142855,0.9523809523809523,-0.7272727272727548,-0.8421052631578957,0.944444444444445,0.4375000000000008
769,0.0,0.8333333333333331,-0.7352941176470589,-0.4285714285714288,-0.14285714285714304,-0.42857142857142855,-0.11904761904761904,-0.009090909090918267,0.42105263157894784,-0.44444444444444436,-0.37499999999999983
379,0.1904761904761907,-0.4166666666666668,0.35294117647058826,0.4285714285714282,0.7142857142857145,0.7857142857142857,0.5476190476190477,0.5454545454545409,0.0,0.44444444444444436,0.375000000000001
63,-0.4285714285714288,0.8958333333333333,-0.6176470588235295,-0.2857142857142859,0.09523809523809536,0.0,0.40476190476190477,-0.04545454545454087,0.42105263157894784,-0.2777777777777781,-0.24999999999999917
637,0.7619047619047619,1.5208333333333333,0.02941176470588238,0.14285714285714232,0.23809523809523842,1.2857142857142858,2.5714285714285716,0.5,-0.3684210526315782,-0.5,-0.49999999999999944
756,-0.7619047619047623,1.9166666666666665,-0.7352941176470589,-0.2857142857142859,-1.0476190476190481,0.14285714285714285,-0.09523809523809523,-0.8272727272727548,1.5263157894736847,-0.8888888888888891,0.6250000000000001
641,0.7619047619047619,0.29166666666666646,0.5294117647058824,0.14285714285714232,-0.38095238095238143,0.5714285714285714,0.7380952380952381,1.1363636363636227,0.7894736842105261,0.05555555555555562,-0.43749999999999967
51,-0.6190476190476195,0.0,-0.6470588235294118,0.0,-0.47619047619047616,-0.35714285714285715,-0.5238095238095238,-0.5,0.47368421052631515,0.05555555555555562,-0.49999999999999944
1515,-0.4761904761904763,1.3333333333333333,-0.14705882352941183,2.7142857142857126,-0.23809523809523842,0.21428571428571427,0.6666666666666666,0.7818181818181634,1.1578947368421042,0.5555555555555556,-0.5937499999999997
680,2.571428571428572,-0.3750000000000001,0.9411764705882353,-0.4285714285714288,-0.4285714285714285,0.14285714285714285,0.07142857142857142,1.6818181818181634,-1.3157894736842108,-0.7222222222222225,-0.7499999999999997
