,label
1404,1
1198,1
769,1
379,1
63,1
637,1
756,1
641,1
51,1
1515,1
680,1
1216,1
1572,1
86,1
1316,1
655,1
794,1
1227,1
682,1
444,2
1385,1
664,1
943,2
1113,1
880,1
108,1
1158,1
1369,0
288,2
654,1
38,0
962,1
1036,2
1565,1
1411,1
1128,1
882,1
318,2
1511,1
1081,2
1488,1
919,1
328,1
754,1
210,1
852,1
376,1
339,2
1355,1
1079,2
568,1
1195,1
1451,2
1167,2
58,1
700,1
247,1
1408,2
1136,1
1045,1
190,1
423,2
1132,2
925,2
752,1
1283,1
41,0
1027,1
135,1
1304,1
1312,1
128,2
1044,1
1574,1
104,1
1110,1
1547,1
1144,1
1131,1
1587,1
768,1
1486,1
738,1
1273,1
81,1
1194,1
1041,1
268,1
1170,1
1530,1
1388,1
143,1
849,1
688,1
583,2
845,1
992,1
113,1
55,1
1536,1
334,2
812,1
475,1
927,0
1328,1
617,1
715,1
735,1
1176,0
272,1
1345,1
1054,1
1286,1
714,1
1585,1
1568,1
761,1
870,1
1467,0
776,1
1429,1
1024,2
47,1
1454,1
1314,1
213,1
474,1
340,1
346,2
537,1
1434,1
484,1
468,1
1593,1
542,1
764,1
202,1
708,1
969,1
342,1
175,1
264,1
152,1
66,1
814,1
1020,1
1095,1
795,1
232,1
378,1
208,1
1350,1
53,1
1014,1
847,1
350,1
485,1
938,2
1551,1
381,1
613,1
1264,1
480,1
830,0
968,1
980,1
1163,1
1179,1
871,1
99,1
308,1
418,1
452,1
417,1
961,1
801,1
1009,1
722,1
473,1
416,1
295,1
1443,1
633,0
33,1
600,0
1222,1
858,2
1580,1
394,1
548,1
939,1
1360,1
301,1
1249,1
899,0
263,1
1543,1
79,0
87,1
648,2
594,1
681,1
161,0
1185,1
1482,0
607,1
563,1
959,1
453,2
689,1
1516,1
1373,1
862,1
1287,1
103,1
668,1
1586,1
842,1
869,1
640,1
726,1
96,1
1004,1
1104,1
456,1
1473,1
1334,1
159,1
694,1
1306,1
813,0
169,1
1556,1
809,1
1518,1
134,1
1370,1
279,2
816,1
534,1
1274,1
506,2
7,2
691,1
1034,1
171,1
357,2
745,1
1315,1
1223,1
1028,1
635,1
1149,1
57,1
876,0
305,1
1191,1
235,1
903,2
634,1
772,1
863,1
1405,2
1071,1
1524,1
1430,1
798,1
1,1
819,1
432,1
585,1
1260,1
1207,1
1503,1
82,1
1008,2
122,1
1347,1
717,1
561,1
1439,1
107,1
207,1
905,1
20,1
549,1
1544,2
560,1
875,2
527,1
1548,1
245,1
1367,1
1065,1
1245,1
1251,1
1130,1
1114,1
1267,1
1123,1
995,1
1002,2
1501,1
466,1
1075,2
431,1
1048,1
36,1
732,1
1570,1
130,1
619,1
437,1
1358,1
1566,1
98,1
463,1
149,1
1399,1
529,1
973,1
580,1
1238,0
574,1
336,1
1342,1
483,1
666,1
929,2
699,1
1039,1
780,1
1410,1
316,1
1525,1
1485,1
704,0
972,2
303,1
910,1
867,1
124,1
541,1
21,1
750,1
396,1
741,1
1093,2
924,1
1183,1
1255,1
31,1
256,1
1428,1
1379,1
90,1
820,1
1124,0
1406,1
205,2
151,0
1003,2
1594,1
397,1
419,1
503,2
767,1
25,1
1033,1
946,2
1550,1
111,1
212,1
622,1
638,2
116,1
477,1
528,1
744,1
454,1
371,1
572,1
1595,1
599,1
1576,1
1421,1
909,1
1540,1
1426,1
0,1
915,1
265,2
1508,1
1038,2
261,0
1011,1
1397,1
1148,1
356,1
1395,1
661,1
370,1
1239,0
224,0
651,1
77,1
958,2
1403,2
412,1
1363,0
332,1
1487,1
1331,1
46,1
692,1
521,1
1297,1
908,1
1339,1
960,1
1376,1
64,1
1288,1
421,2
1134,2
1493,1
665,1
230,2
1462,1
623,1
1293,0
901,2
1382,1
1546,1
1115,1
246,1
793,1
778,1
1489,1
861,1
1262,1
727,1
163,1
360,1
1521,0
436,1
886,1
1495,1
68,1
956,1
126,1
307,1
89,1
286,1
833,0
493,1
825,1
1452,2
1234,1
1032,1
123,1
1302,1
1344,1
894,1
10,1
150,1
766,1
1057,1
1122,1
719,1
106,1
1432,1
501,2
667,1
1253,1
1214,1
282,1
896,2
703,0
1357,1
1461,0
1146,1
138,1
602,1
29,1
1142,1
948,2
1261,0
278,2
1317,1
293,1
387,1
544,1
1120,2
730,1
1299,0
1301,1
1235,0
1459,2
1173,1
507,1
1477,2
216,1
782,1
926,1
127,1
248,1
209,2
433,1
859,1
1171,1
1275,1
646,1
575,1
13,1
538,2
330,1
996,2
384,1
1102,1
1056,2
1218,1
234,1
415,1
168,1
1336,1
26,1
1365,1
1085,1
620,1
1469,0
510,1
5,1
589,2
1575,1
1224,1
1133,2
291,1
1240,1
1178,1
1349,1
258,1
14,1
1152,1
467,1
181,1
84,1
734,1
369,2
52,1
724,0
1161,1
628,1
1394,1
611,1
1000,2
1184,1
771,1
237,1
439,1
442,2
765,1
1578,1
978,2
587,1
888,1
985,1
1143,1
395,2
284,1
677,1
1284,1
873,2
2,1
1047,1
472,1
1082,1
179,1
989,1
889,1
326,2
857,2
1105,1
447,1
367,1
455,2
618,1
117,1
1196,1
129,1
426,1
1494,2
1118,1
1135,1
810,1
1303,1
1270,1
1569,1
967,1
304,1
408,1
1272,1
1417,2
1172,1
1295,1
879,1
1431,1
30,1
1140,1
957,1
546,1
525,1
645,2
1209,2
702,1
1359,1
1577,1
1230,1
553,1
621,1
215,1
675,1
1076,1
482,1
762,1
203,1
1280,1
405,1
1211,1
78,1
1157,2
1108,1
198,2
562,1
1019,1
1063,1
1061,2
1505,0
460,1
1558,1
451,1
1324,1
947,2
1101,1
1121,1
570,1
471,1
670,1
1418,1
362,1
368,1
711,1
755,1
1066,2
582,1
900,1
1437,1
337,1
411,1
73,0
476,1
999,1
146,1
1017,1
647,0
1182,1
226,1
1062,1
1384,1
390,2
1210,1
1480,0
892,1
1107,2
1177,2
204,1
1111,2
1381,1
860,1
1290,1
1539,1
449,1
386,1
1030,2
853,1
1320,1
1391,1
981,1
1497,1
840,2
1519,1
935,1
839,1
1484,0
557,1
824,1
1390,1
222,1
1015,1
578,1
1257,1
1013,1
109,1
407,2
50,1
872,0
315,1
1072,1
543,1
604,1
705,1
434,1
1292,1
19,1
918,1
196,1
709,1
658,1
605,1
49,1
221,1
1442,1
671,1
1509,1
1415,1
826,2
1298,1
1466,2
805,2
1186,1
142,1
1441,1
75,1
1311,1
201,1
15,1
1422,1
6,1
887,2
461,1
3,1
1531,1
297,1
199,0
1277,1
1094,1
1162,2
314,1
200,2
1453,1
940,2
39,1
1242,1
489,1
364,2
257,1
1197,1
375,2
547,1
590,1
937,0
982,1
524,1
1091,1
167,0
1559,1
757,1
174,1
1263,0
743,1
932,1
494,1
1393,1
504,2
1067,2
573,0
32,1
789,1
389,2
796,1
1573,1
1243,1
818,1
60,1
372,1
145,1
822,1
112,1
787,1
1012,1
835,1
559,1
843,1
1309,1
792,1
1532,1
1456,1
1282,1
327,1
158,1
1449,2
1400,1
1053,2
1322,1
1542,1
414,1
154,1
554,1
610,1
1231,1
1414,1
663,1
828,2
241,1
808,1
531,1
1346,1
12,1
718,1
280,1
684,1
1591,1
34,1
71,1
94,0
296,1
1265,1
317,1
991,1
62,2
229,1
994,1
324,1
186,1
253,1
462,1
639,1
170,0
1356,1
866,1
569,1
1069,1
251,1
61,1
1319,1
177,1
1271,1
723,1
1517,1
696,1
1203,1
443,2
552,1
44,1
878,1
1080,1
1254,1
1502,1
1077,1
231,1
1046,1
1537,1
496,1
1153,1
1436,1
1279,2
137,1
1527,1
446,1
464,1
413,2
998,1
353,1
281,2
487,1
187,1
1127,1
608,1
358,2
1538,1
361,1
1448,1
650,1
70,1
95,1
164,1
1597,1
797,2
687,1
355,1
598,1
834,1
1165,1
1088,2
513,2
1201,2
614,1
323,1
306,1
1447,1
101,1
259,2
403,1
566,1
9,1
37,2
1455,1
690,0
448,1
1440,2
35,1
1553,1
1156,2
657,2
192,1
931,1
45,0
118,1
302,1
519,1
1352,1
533,1
1125,2
1228,2
944,2
1145,1
1007,2
335,2
273,1
586,2
1545,1
773,1
354,1
1562,1
1051,1
920,1
88,1
1252,1
1423,0
885,1
1427,1
1500,1
659,0
338,1
1582,1
1160,2
402,1
404,1
1374,0
54,1
28,1
429,1
97,1
1031,2
975,1
988,1
576,0
1460,1
1213,1
1073,1
1332,1
977,1
1589,1
653,1
742,1
1052,1
262,1
217,1
1583,1
1220,1
420,2
491,2
440,2
706,1
1321,1
22,1
739,1
1276,0
495,2
365,1
774,1
392,1
56,1
1590,1
1475,2
312,1
441,1
986,2
844,1
1445,1
59,1
333,1
165,1
388,1
674,1
1190,1
1236,1
243,2
804,1
1371,1
166,1
596,1
182,1
85,1
518,1
907,1
289,1
490,1
345,1
48,1
593,1
72,1
67,1
652,1
1256,1
911,1
1087,1
1478,0
802,2
1037,1
1413,1
693,1
1291,1
606,2
913,2
373,1
912,1
351,1
1097,1
16,2
1139,1
838,2
1458,1
695,1
193,1
1523,1
1181,1
24,1
1269,2
300,1
1361,1
725,1
784,1
874,2
267,2
1025,1
1168,1
942,2
698,1
1329,1
348,1
970,1
1396,1
748,1
632,1
1150,2
649,1
120,1
1444,1
349,1
1584,2
465,1
895,1
147,1
954,1
1001,2
1513,1
1119,1
1305,1
189,1
740,1
520,1
577,1
1090,2
1506,1
1392,1
1368,1
890,1
1106,1
1386,1
294,1
1040,1
1579,1
162,1
545,1
363,1
1364,1
